latitude,longitude,nwk
-5.133331,119.416667,0
-5.133333,119.416667,0
-5.133333,119.416667,0
-5.133333,119.416667,14
-5.133333,119.416667,0
-5.133333,119.416667,0
-5.380227,-78.698601,5
-5.403175,105.201975,0
-5.42857,105.273609,0
-5.492729,143.7241,0
-6.127153,143.420306,0
-6.133333,39.266667,0
-6.13573,39.36212,1
-6.162316,39.191137,2
-6.164961,39.202902,1
-6.170593,106.757476,1
-6.178306,106.631889,0
-6.205408,106.84262,1
-6.208821,106.846046,23
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,42
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,1
-6.208821,106.846046,30
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,59
-6.208821,106.846046,6
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,1
-6.208821,106.846046,4
-6.208821,106.846046,8
-6.208821,106.846046,1
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,6
-6.208821,106.846046,0
-6.208821,106.846046,164
-6.208821,106.846046,0
-6.208821,106.846046,192
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,61
-6.208821,106.846046,4
-6.208821,106.846046,0
-6.208821,106.846046,0
-6.208821,106.846046,2
-6.208821,106.846046,0
-6.209167,106.826667,4
-6.241586,107.148056,0
-6.243975,106.800056,2
-6.245297,106.671231,3
-6.268991,106.806039,0
-6.307706,106.717567,1
-6.319618,106.756077,0
-6.569032,107.75753,4
-6.59879,106.799755,0
-6.715073,108.563747,30
-6.767239,106.788769,0
-6.838573,39.219382,0
-6.908704,107.610683,6
-6.908704,107.610683,2
-6.92405,106.922203,9.5
-6.966301,110.416321,0
-6.966667,110.416667,3
-7.025867,107.516899,1
-7.168333,106.666389,19.5
-7.289166,112.734398,2
-7.319563,108.214588,2
-7.327954,108.214104,0
-7.464444,112.686389,6
-7.472222,112.433611,27
-7.506812,108.569412,0
-7.566667,110.816667,23
-7.566667,110.816667,0
-7.566971,110.818111,2
-7.566971,110.818111,2
-7.797224,110.368797,1
-7.797224,110.368797,0
-8.496041,140.394553,0
-8.558458,125.578151,0
-8.558458,125.578151,3
-8.650874,116.324868,0
-8.656378,115.221806,0
-8.722791,115.17229,502
-8.722791,115.17229,62.5
-8.766667,160.7,1
-8.790422,115.159278,62.5
-8.80954,125.1585,6
-8.8575,126.364722,1
-8.872778,125.18,0
-8.925,125.375833,4
-8.930556,125.396667,0
-8.971451,125.042999,1
-9.104512,124.897553,3
-9.446667,124.478056,3
-9.492408,124.955521,11
-9.584336,160.155603,1
-9.584336,160.155603,0
0.003176,40.374792,0
0.004622,40.376192,2
0.028903,42.288622,16
0.048889,42.429722,6.5
0.050659,29.687597,2
0.054258,40.308375,0
0.054258,40.308375,0
0.054258,40.308375,5
0.055195,40.307974,4
0.103662,40.310637,2
0.109637,40.315064,0
0.110035,40.309474,1
0.110207,40.314146,6
0.110378,40.312607,1
0.110426,40.313968,7
0.110426,40.313968,0
0.110426,40.313968,5
0.110464,40.31612,1
0.110464,40.31612,3
0.115955,40.315163,3
0.115955,40.315163,4
0.12459,117.48625,0
0.180309,41.603088,8
0.188579,40.284526,9
0.18913,40.283331,2
0.18913,40.283331,4
0.18913,40.283331,6
0.191444,40.287799,0
0.215065,40.641983,1
0.224021,41.601181,19
0.224021,41.601181,2
0.224021,41.601181,0
0.224021,41.601181,0
0.24702,41.741887,0
